TransactionID,CustomerID,TransactionDate,TransactionType,Amount,ProductCategory,ProductSubcategory,BranchCity,BranchLat,BranchLong,Channel,Currency,CreditCardFees,InsuranceFees,LatePaymentAmount,CustomerScore,MonthlyIncome,CustomerSegment,RecommendedOffer,Amount_Cleaned,LatePayment_Cleaned,TotalFees,Fraud_Suspicion_Score,Is_High_Risk,LatePayment_Flag,Risk_Status,Risk_Level,Year,Month,MonthName,Quarter,YearMonth,DateKey,Income_Group,CreditScore_Group,IF_Anomaly_Flag,IF_Anomaly_Score,LOF_Anomaly_Flag,LOF_Anomaly_Score,Anomaly_Count,Early_Warning_Score,Early_Warning_Level
1,8270,2025-01-29,Card Payment,6980.185223290763,Checking Account,Gold,Seville,37.3891,-5.9845,Branch,EUR,0.0,0.0,0.0,839,5767.68,Middle Income Segment,Mid-tier Savings Booster,6980.185223290763,0.0,0.0,0,0,0,Normal,Normal,2025,1,Jan,Q1,2025-01,20250129,Middle Income,Good,0,-0.06635130437430259,0,1.0212287265236601,0,0,Low
2,1860,2023-02-10,Deposit,10786.37185401874,Mortgage,Gold,Murcia,37.9847,-1.1287,Branch,EUR,0.0,0.0,0.0,683,2441.0,Low Income Segment,Financial Literacy Program Access,10786.37185401874,0.0,0.0,0,0,0,Normal,Normal,2023,2,Feb,Q1,2023-02,20230210,Low Income,Medium,0,-0.030361427147715947,0,0.9993213140104344,0,0,Low
3,6390,2024-03-07,Transfer,3982.761110763336,Loan,Platinum,Malaga,36.7213,-4.4214,ATM,EUR,0.0,92.46,0.0,500,9957.08,High Income Segment,Premium Investment Services,3982.761110763336,0.0,92.46,0,0,0,Normal,Normal,2024,3,Mar,Q1,2024-03,20240307,High Income,Low,1,0.003811961910772932,0,1.0288141056521958,1,1,Low
4,6191,2023-07-04,Withdrawal,12408.6441357312,Mortgage,Standard,Seville,37.3891,-5.9845,ATM,EUR,0.0,0.0,0.0,392,1545.8,Low Income Segment,Financial Literacy Program Access,12408.6441357312,0.0,0.0,20,1,0,High Risk,High,2023,7,Jul,Q3,2023-07,20230704,Low Income,Very Low,0,-0.021285534690864916,0,1.007515652060571,0,3,Medium
5,6734,2025-02-05,Fee,1868.260998018309,Checking Account,Platinum,Murcia,37.9847,-1.1287,Mobile,USD,0.0,0.0,0.0,368,5825.27,Middle Income Segment,Mid-tier Savings Booster,1868.260998018309,0.0,0.0,20,1,0,High Risk,High,2025,2,Feb,Q1,2025-02,20250205,Middle Income,Very Low,0,-0.0673748617530629,0,0.9980056114245008,0,3,Medium
6,7265,2023-09-30,Card Payment,3165.15062990132,Savings Account,Platinum,Murcia,37.9847,-1.1287,Branch,EUR,0.0,0.0,0.0,793,6234.59,Middle Income Segment,Mid-tier Savings Booster,3165.15062990132,0.0,0.0,0,0,0,Normal,Normal,2023,9,Sep,Q3,2023-09,20230930,Middle Income,Good,0,-0.0662971045753541,0,1.0314401394739872,0,0,Low
7,1466,2023-02-11,Fee,4771.08753934117,Savings Account,Student,Seville,37.3891,-5.9845,Mobile,EUR,0.0,0.0,0.0,441,6436.8,Middle Income Segment,Mid-tier Savings Booster,4771.08753934117,0.0,0.0,20,0,0,Normal,Low,2023,2,Feb,Q1,2023-02,20230211,Middle Income,Low,0,-0.0655938631976754,0,1.001082569687373,0,0,Low
8,5426,2024-01-14,Deposit,4484.8557186646,Checking Account,Platinum,Murcia,37.9847,-1.1287,Branch,EUR,0.0,0.0,0.0,419,1576.34,Low Income Segment,Financial Literacy Program Access,4484.8557186646,0.0,0.0,20,0,0,Normal,Low,2024,1,Jan,Q1,2024-01,20240114,Low Income,Low,0,-0.044587816501149846,0,0.9989946186252154,0,0,Low
9,6578,2023-07-15,Deposit,9929.003111058826,Loan,Gold,Murcia,37.9847,-1.1287,Online,EUR,0.0,42.66,0.0,687,5407.32,Middle Income Segment,Personal Loan Cashback Offer,9929.003111058826,0.0,42.66,0,0,0,Normal,Normal,2023,7,Jul,Q3,2023-07,20230715,Middle Income,Medium,0,-0.042599984871382945,0,0.9915172474285758,0,0,Low
10,9322,2024-02-14,Transfer,3669.693233206867,Savings Account,Business,Bilbao,43.263,-2.935,Branch,EUR,0.0,0.0,0.0,617,7940.49,High Income Segment,Premium Investment Services,3669.693233206867,0.0,0.0,0,0,0,Normal,Normal,2024,2,Feb,Q1,2024-02,20240214,High Income,Medium,0,-0.05398597666986593,0,0.9875457347447163,0,0,Low
